Debt Projection	NAB	(Mum) Home Loan	Sydenham	Required Payment		Rent	Negative	Terrace
Interest	0.0	0.0	0.04					0.04
Debt	3700.0	55000.0	303468.0					510000.0
Monthly Paid	200.0	400.0	1647.0					2362.0
2019-03-01 00:00:00	3500	54600	302832.56	1647.0	263.0136986	1480.0	430.0136986	509338
2019-04-01 00:00:00	3300	54200	302195.0019	1647.0	263.0136986	1480.0	430.0136986	508673.7933
2019-05-01 00:00:00	3100	53800	301555.3185	1647.0	263.0136986	1480.0	430.0136986	508007.3726
2019-06-01 00:00:00	2900	53400	300913.5029	1647.0	263.0136986	1480.0	430.0136986	507338.7306
2019-07-01 00:00:00	2700	53000	300269.5479	1647.0	263.0136986	1480.0	430.0136986	506667.8597
2019-08-01 00:00:00	2500	52600	299623.4464	1647.0	263.0136986	1480.0	430.0136986	505994.7525
2019-09-01 00:00:00	2300	52200	298975.1913	1647.0	263.0136986	1480.0	430.0136986	505319.4017
2019-10-01 00:00:00	2100	51800	298324.7752	1647.0	263.0136986	1480.0	430.0136986	504641.7997
2019-11-01 00:00:00	1900	51400	297672.1911	1647.0	263.0136986	1480.0	430.0136986	503961.939
2019-12-01 00:00:00	1700	51000	297017.4318	1647.0	263.0136986	1480.0	430.0136986	503279.8122
2020-01-01 00:00:00	1500	50600	296360.4899	1647.0	263.0136986	1480.0	430.0136986	502595.4115
2020-02-01 00:00:00	1300	50200	295701.3582	1647.0	263.0136986	1480.0	430.0136986	501908.7296
2020-03-01 00:00:00	1100	49800	295040.0294	1647.0	263.0136986	1480.0	430.0136986	501219.7587
2020-04-01 00:00:00	900	49400	294376.4961	1647.0	263.0136986	1480.0	430.0136986	500528.4912
2020-05-01 00:00:00	700	49000	293710.7511	1647.0	263.0136986	1480.0	430.0136986	499834.9195
2020-06-01 00:00:00	500	48600	293042.787	1647.0	263.0136986	1480.0	430.0136986	499139.0359
2020-07-01 00:00:00	300	48200	292372.5963	1647.0	263.0136986	1480.0	430.0136986	498440.8327
2020-08-01 00:00:00	100	47800	291700.1716	1647.0	263.0136986	1480.0	430.0136986	497740.3021
2020-09-01 00:00:00	-100	47400	291025.5055	1647.0	263.0136986	1480.0	430.0136986	497037.4365
2020-10-01 00:00:00	-300	47000	290348.5905	1647.0	263.0136986	1480.0	430.0136986	496332.2279
2020-11-01 00:00:00	-500	46600	289669.4191	1647.0	263.0136986	1480.0	430.0136986	495624.6687
2020-12-01 00:00:00	-700	46200	288987.9839	1647.0	263.0136986	1480.0	430.0136986	494914.7509
2021-01-01 00:00:00	-900	45800	288304.2772	1647.0	263.0136986	1480.0	430.0136986	494202.4668
2021-02-01 00:00:00	-1100	45400	287618.2914	1647.0	263.0136986	1480.0	430.0136986	493487.8083
2021-03-01 00:00:00	-1300	45000	286930.019	1647.0	263.0136986	1480.0	430.0136986	492770.7677
2021-04-01 00:00:00		44600	286239.4524	1647.0	263.0136986	1480.0	430.0136986	492051.3369
2021-05-01 00:00:00		44200	285546.584	1647.0	263.0136986	1480.0	430.0136986	491329.508
2021-06-01 00:00:00		43800	284851.4059	1647.0	263.0136986	1480.0	430.0136986	490605.273
2021-07-01 00:00:00		43400	284153.9106	1647.0	263.0136986	1480.0	430.0136986	489878.624
2021-08-01 00:00:00		43000	283454.0903	1647.0	263.0136986	1480.0	430.0136986	489149.5527
2021-09-01 00:00:00		42600	282751.9373	1647.0	263.0136986	1480.0	430.0136986	488418.0512
2021-10-01 00:00:00		42200	282047.4437	1647.0	263.0136986	1480.0	430.0136986	487684.1114
2021-11-01 00:00:00		41800	281340.6019	1647.0	263.0136986	1480.0	430.0136986	486947.7251
2021-12-01 00:00:00		41400	280631.4039	1647.0	263.0136986	1480.0	430.0136986	486208.8842
2022-01-01 00:00:00		41000	279919.8419	1647.0	263.0136986	1480.0	430.0136986	485467.5805
2022-02-01 00:00:00		40600	279205.908	1647.0	263.0136986	1480.0	430.0136986	484723.8057
2022-03-01 00:00:00		40200	278489.5944	1647.0	263.0136986	1480.0	430.0136986	483977.5517
2022-04-01 00:00:00		39800	277770.893	1647.0	263.0136986	1480.0	430.0136986	483228.8102
2022-05-01 00:00:00		39400	277049.796	1647.0	263.0136986	1480.0	430.0136986	482477.5729
2022-06-01 00:00:00		39000	276326.2953	1647.0	263.0136986	1480.0	430.0136986	481723.8315
2022-07-01 00:00:00		38600	275600.383	1647.0	263.0136986	1480.0	430.0136986	480967.5776
2022-08-01 00:00:00		38200	274872.0509	1647.0	263.0136986	1480.0	430.0136986	480208.8029
2022-09-01 00:00:00		37800	274141.2911	1647.0	263.0136986	1480.0	430.0136986	479447.4989
2022-10-01 00:00:00		37400	273408.0954	1647.0	263.0136986	1480.0	430.0136986	478683.6572
2022-11-01 00:00:00		37000	272672.4557	1647.0	263.0136986	1480.0	430.0136986	477917.2694
2022-12-01 00:00:00		36600	271934.3639	1647.0	263.0136986	1480.0	430.0136986	477148.327
2023-01-01 00:00:00		36200	271193.8118	1647.0	263.0136986	1480.0	430.0136986	476376.8214
2023-02-01 00:00:00		35800	270450.7911	1647.0	263.0136986	1480.0	430.0136986	475602.7441
2023-03-01 00:00:00		35400	269705.2938	1647.0	263.0136986	1480.0	430.0136986	474826.0866
2023-04-01 00:00:00		35000	268957.3114	1647.0	263.0136986	1480.0	430.0136986	474046.8402
2023-05-01 00:00:00		34600	268206.8358	1647.0	263.0136986	1480.0	430.0136986	473264.9964
2023-06-01 00:00:00		34200	267453.8586	1647.0	263.0136986	1480.0	430.0136986	472480.5464
2023-07-01 00:00:00		33800	266698.3714	1647.0	263.0136986	1480.0	430.0136986	471693.4815
2023-08-01 00:00:00		33400	265940.366	1647.0	263.0136986	1480.0	430.0136986	470903.7931
2023-09-01 00:00:00		33000	265179.8339	1647.0	263.0136986	1480.0	430.0136986	470111.4724
2023-10-01 00:00:00		32600	264416.7667	1647.0	263.0136986	1480.0	430.0136986	469316.5107
2023-11-01 00:00:00		32200	263651.1559	1647.0	263.0136986	1480.0	430.0136986	468518.899
2023-12-01 00:00:00		31800	262882.9931	1647.0	263.0136986	1480.0	430.0136986	467718.6287
2024-01-01 00:00:00		31400	262112.2697	1647.0	263.0136986	1480.0	430.0136986	466915.6908
2024-02-01 00:00:00		31000	261338.9773	1647.0	263.0136986	1480.0	430.0136986	466110.0764
2024-03-01 00:00:00		30600	260563.1072	1647.0	263.0136986	1480.0	430.0136986	465301.7767
2024-04-01 00:00:00		30200	259784.6509	1647.0	263.0136986	1480.0	430.0136986	464490.7826
2024-05-01 00:00:00		29800	259003.5998	1647.0	263.0136986	1480.0	430.0136986	463677.0852
2024-06-01 00:00:00		29400	258219.9451	1647.0	263.0136986	1480.0	430.0136986	462860.6755
2024-07-01 00:00:00		29000	257433.6782	1647.0	263.0136986	1480.0	430.0136986	462041.5444
2024-08-01 00:00:00		28600	256644.7905	1647.0	263.0136986	1480.0	430.0136986	461219.6829
2024-09-01 00:00:00		28200	255853.2731	1647.0	263.0136986	1480.0	430.0136986	460395.0819
2024-10-01 00:00:00		27800	255059.1174	1647.0	263.0136986	1480.0	430.0136986	459567.7321
2024-11-01 00:00:00		27400	254262.3144	1647.0	263.0136986	1480.0	430.0136986	458737.6246
2024-12-01 00:00:00		27000	253462.8555	1647.0	263.0136986	1480.0	430.0136986	457904.75
2025-01-01 00:00:00		26600	252660.7317	1647.0	263.0136986	1480.0	430.0136986	457069.0992
2025-02-01 00:00:00		26200	251855.9341	1647.0	263.0136986	1480.0	430.0136986	456230.6628
2025-03-01 00:00:00		25800	251048.4539	1647.0	263.0136986	1480.0	430.0136986	455389.4317
2025-04-01 00:00:00		25400	250238.2821	1647.0	263.0136986	1480.0	430.0136986	454545.3965
2025-05-01 00:00:00		25000	249425.4097	1647.0	263.0136986	1480.0	430.0136986	453698.5478
2025-06-01 00:00:00		24600	248609.8277	1647.0	263.0136986	1480.0	430.0136986	452848.8763
2025-07-01 00:00:00		24200	247791.5271	1647.0	263.0136986	1480.0	430.0136986	451996.3725
2025-08-01 00:00:00		23800	246970.4989	1647.0	263.0136986	1480.0	430.0136986	451141.0271
2025-09-01 00:00:00		23400	246146.7339	1647.0	263.0136986	1480.0	430.0136986	450282.8305
2025-10-01 00:00:00		23000	245320.223	1647.0	263.0136986	1480.0	430.0136986	449421.7733
2025-11-01 00:00:00		22600	244490.9571	1647.0	263.0136986	1480.0	430.0136986	448557.8459
2025-12-01 00:00:00		22200	243658.9269	1647.0	263.0136986	1480.0	430.0136986	447691.0387
2026-01-01 00:00:00		21800	242824.1234	1647.0	263.0136986	1480.0	430.0136986	446821.3422
2026-02-01 00:00:00		21400	241986.5371	1647.0	263.0136986	1480.0	430.0136986	445948.7466
2026-03-01 00:00:00		21000	241146.1589	1647.0	263.0136986	1480.0	430.0136986	445073.2425
2026-04-01 00:00:00		20600	240302.9794	1647.0	263.0136986	1480.0	430.0136986	444194.8199
2026-05-01 00:00:00		20200	239456.9894	1647.0	263.0136986	1480.0	430.0136986	443313.4693
